test_index,y_true,y_pred_base,pred_mean,pred_std,pred_median,p16,p84,p5,p95,analysis_interval_68,analysis_interval_90,analysis_2mad,abs_error_base
0,950.0,996.7689320348019,996.9151119397969,10.72726320603322,996.7432190501579,985.0080131122639,1008.3538567580204,980.8068256731177,1013.8857292944302,23.345843645756418,33.07890362131252,16.82736690449974,46.76893203480188
1,975.0,969.5625655516618,969.2513827103899,3.96709693490819,969.4175070912679,965.4661910521551,973.0600200618281,962.3188799908519,975.7336365303154,7.5938290096730725,13.414756539463497,5.018523537620922,5.437434448338195
2,980.0,1012.8217203721596,1013.8077746409325,7.048437874374201,1013.898788980237,1006.6697582406842,1020.702273204243,1002.2212136024208,1024.9137056595978,14.03251496355881,22.69249205717699,9.978672080368597,32.821720372159575
3,1000.0,962.915658688017,964.272382301032,2.2102907683628494,963.9247259813611,962.2027772105447,966.1981472649375,961.4239549393458,968.3917291831467,3.9953700543927653,6.967774243800932,2.613792853181508,37.08434131198305
4,1040.0,1059.15357288997,1059.0773907086407,1.9665302122047221,1058.9249424094314,1057.110887699469,1061.2321295192903,1056.0464462885345,1062.3586944628391,4.121241819821307,6.312248174304614,2.937251687034859,19.153572889970064
5,1059.0,1067.4080764133098,1067.1907295261344,0.5974448205725824,1067.1633180526248,1066.623711426586,1067.7737705878005,1066.263527739622,1068.1937338283637,1.1500591612145854,1.93020608874167,0.80160032223489,8.4080764133098
6,1089.0,1090.6972405020895,1090.7167383400667,2.9225056836970267,1091.0829990897896,1088.4210423400216,1093.2195055505263,1085.4115697983289,1094.6086794161338,4.7984632105046785,9.197109617804927,3.227080373078252,1.6972405020894712
7,1105.0,1110.2948003956408,1111.1708673653216,2.610970421847256,1110.9331775709848,1108.7130644295228,1113.6286148213862,1107.3428090438633,1115.6791549576337,4.915550391863462,8.336345913770401,3.3476236403475923,5.294800395640777
8,1117.0,1123.2870837974144,1123.0319061413134,2.050186950964631,1122.9997654042736,1120.9272829247516,1125.1377245714157,1119.8789503659204,1126.4951084138702,4.210441646664094,6.616158047949739,2.9726952052315028,6.287083797414425
9,1149.0,1159.0292624936287,1157.336373450847,5.483127481316652,1157.131637177536,1152.1065977280157,1162.915414246846,1148.9678442667755,1166.7110583038948,10.808816518830326,17.743214037119287,7.660108417037236,10.029262493628721
10,1166.0,1174.384395011651,1174.6220589552868,4.4187512684881565,1174.645635892036,1169.9411792290293,1179.2036260984942,1167.4629040084994,1181.8203756172777,9.262446869464839,14.357471608778269,6.458185074732,8.384395011650895
11,1200.0,1186.4952868786675,1185.9147842853179,12.487412872778533,1185.7953770655533,1174.6452738614262,1198.1729951234602,1163.9132790155904,1205.4779032616618,23.527721262033992,41.56462424607139,16.26013960881278,13.504713121332543
12,1225.0,1224.9165911989096,1225.0544545184734,1.9549613636150869,1224.879390401336,1223.6689246988951,1226.3396955774033,1222.478869220823,1228.7495569589157,2.670770878508165,6.270687738092647,1.5864905961043405,0.08340880109039972
13,1240.0,1211.046325598885,1212.8263396053308,6.0579131381147375,1212.4868118827987,1207.080519721719,1218.6183076690775,1203.266434757063,1222.7992745553797,11.537787947358538,19.532839798316672,8.34439860485304,28.953674401114995
14,1275.0,1251.7292927244287,1251.3636565994939,3.257800993507194,1251.0483869825587,1248.6124546465987,1253.8195798569052,1246.782667940851,1257.1532032886698,5.207125210306458,10.370535347818759,3.370915588076741,23.27070727557134
15,1286.0,1268.1854042680598,1268.5911023443894,7.209279015391852,1268.0858106096466,1260.8797945211948,1276.1433181744924,1258.4023163432298,1280.2790321767543,15.263523653297625,21.876715833524486,11.155794558800835,17.814595731940244
16,1328.0,1309.4038377192983,1308.574570195186,7.124755608555756,1308.7877521929825,1300.0720403508772,1316.002557017544,1299.4097736949082,1320.8250877192982,15.93051666666679,21.41531402439,12.308559154260365,18.59616228070172
17,1350.0,1334.6569229753984,1332.4937180855234,6.569093491430238,1332.8464943949466,1325.8482687546193,1338.8169378876792,1321.589269308943,1342.7735166088037,12.968669133059848,21.184247299860772,8.44144907723853,15.343077024601598
18,1378.0,1123.3548759418636,1124.0961102705849,3.5013641290632656,1124.278139302262,1120.402381162924,1127.6838758381027,1118.2732826078252,1129.5873729814398,7.281494675178692,11.31409037361459,5.107678982227981,254.6451240581364
