test_index,y_true,y_pred_base,pred_mean,pred_std,pred_median,p16,p84,p5,p95,analysis_interval_68,analysis_interval_90,analysis_2mad,abs_error_base
0,0.2,3.8324804636400467,3.8373522162772,0.19204493405359777,3.8339155750056273,3.6546478968809835,4.034832759303816,3.5140213756542784,4.159328853533742,0.38018486242283256,0.6453074778794634,0.24810933458498186,3.6324804636400465
1,0.5,3.2780596760483434,3.302884346013851,0.3136805752695173,3.249212290773847,3.023699438692937,3.6130800073095433,2.8764502737665443,3.9109570520487695,0.5893805686166065,1.0345067782822253,0.3729731185694627,2.7780596760483434
2,0.0,1.9255315298133007,2.062649521241207,0.23217063161970045,2.06177930734503,1.8273158953258393,2.283960053613062,1.6884561083632685,2.4736586627416584,0.4566441582872227,0.7852025543783898,0.3072914021389217,1.9255315298133007
3,0.5,1.8312644987845714,1.865127646047342,0.05314755346031269,1.8632795893178553,1.8173835922667287,1.9128280929592885,1.7853992048312364,1.9555177987011305,0.09544450069255972,0.17011859386989414,0.06369862354020217,1.3312644987845714
4,0.0,0.21304434707247874,0.20236545712299125,0.02228495074437845,0.21206424901704085,0.17290903520125137,0.21304434707247874,0.16716601669380854,0.2222110137391454,0.040135311871227375,0.05504499704533686,0.009525840904009875,0.21304434707247874
5,0.0,0.18198870846620047,0.0848976451437997,0.08644510473531525,0.032343265988324356,0.005875330848051081,0.18446812262198223,0.005261176635207088,0.1858053429114013,0.17859279177393114,0.1805441662761942,0.05353384135080509,0.18198870846620047
6,0.0,0.9116179802023361,0.9162217503086988,0.1751563500204612,0.9000025179057258,0.7467495015408979,1.0862443634482768,0.6656097614697517,1.226268021758012,0.3394948619073789,0.5606582602882603,0.22927376572964187,0.9116179802023361
7,0.0,2.241458638648371,2.2585017618147756,0.32448144918348704,2.268227619831121,1.9701638634832443,2.565569438807183,1.7413147738774768,2.7966199808749406,0.5954055753239387,1.0553052069974638,0.41240903772074544,2.241458638648371
8,0.001,0.0670598039350066,0.08865209953402603,0.04100121387459795,0.0770669114376252,0.05536488877974586,0.12374379381697943,0.047604627678388405,0.1714072441287049,0.06837890503723357,0.12380261645031648,0.03789557171568486,0.0660598039350066
9,0.0,0.3877740458165798,0.5646185217660018,0.2981723090594477,0.5019770905450887,0.3167059709872795,0.7996741166111531,0.21082935033946312,1.107076743595192,0.4829681456238736,0.8962473932557289,0.30829306241847776,0.3877740458165798
10,0.0,0.1850240188800546,0.26249175918376855,0.1506216358953516,0.22615949394945944,0.13413046496141567,0.3855133363618836,0.10358243098118865,0.5444887667939527,0.25138287140046794,0.4409063358127641,0.1610615850124518,0.1850240188800546
11,0.0,0.06992253138192792,0.0727294822974799,0.015463913607033187,0.07145263142447447,0.059360150466966285,0.08370288760683683,0.05225501843091542,0.09564454869196291,0.02434273713987055,0.04338953026104749,0.015276648538267809,0.06992253138192792
12,0.001,0.23420825566420028,0.5722877314454368,0.2808242029436782,0.5185723852031933,0.3087683453136913,0.8208155431783897,0.2169696436655062,1.092712399876804,0.5120471978646983,0.8757427562112978,0.34132976071091825,0.23320825566420028
13,0.0,1.5944794877576518,1.728444688650984,0.4128634231349044,1.6797978440631598,1.3157795854206011,2.158130686671429,1.133686648632701,2.4112050778109446,0.8423511012508278,1.2775184291782435,0.6008245373010326,1.5944794877576518
